Spieltermin;Uhrzeit;Altersklasse;Spielklasse;Liga;Gruppe;Heimmannschaft;Gastmannschaft;Spiel-Nr.;Spielort
02.05.2026;13:00;Herren 30;Südliga 2;Herren 30 Südliga 2;Herren 30 Südliga 2 Gr. 255;TC Dorfen;VfL Waldkraiburg;6205;
02.05.2026;13:00;Damen 40;Südliga 2;Damen 40 Südliga 2;Damen 40 Südliga 2 Gr. 447;TuS Traunreut;TC Dorfen;10267;
09.05.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TC Dorfen;SV Unterneukirchen;11701;
09.05.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;SV Aschau/Inn;TC Dorfen II;18031;
09.05.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;TC Dorfen;SV Walpertskirchen;18053;
09.05.2026;13:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;SV Gendorf Burgkirchen;TC Dorfen;9628;
09.05.2026;14:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TC Dorfen;Münchner Sportclub;898;
09.05.2026;14:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;TF Markt Schwaben;TC Dorfen;2379;
09.05.2026;14:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TC Dorfen;TSV St.Wolfgang;8162;
10.05.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;TC Dorfen;SV Gendorf Burgkirchen;450;
10.05.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TC Schwindegg;TC Dorfen II;2214;
10.05.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;VfL Waldkraiburg;TC Dorfen;5666;
10.05.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;VfL Waldkraiburg;TC Dorfen;19782;
14.05.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;SpVgg Jettenbach;TC Dorfen;5668;
15.05.2026;15:00;Dunlop Kleinfeld U9;Südliga 2;Dunlop Kleinfeld U9 Südliga 2;Dunlop Kleinfeld U9 Südliga 2 Gr. 950;TC Oberding II;TC Dorfen;20398;
15.05.2026;15:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;TC Taufkirchen;TC Dorfen;18054;
16.05.2026;09:00;Damen 40;Südliga 2;Damen 40 Südliga 2;Damen 40 Südliga 2 Gr. 447;TC Zorneding;TC Dorfen;10272;
16.05.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;TC Dorfen II;SV Oberbergkirchen;18033;
16.05.2026;13:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;TC Rot-Weiß Freising;TC Dorfen;2382;
16.05.2026;14:00;Herren 30;Südliga 2;Herren 30 Südliga 2;Herren 30 Südliga 2 Gr. 255;TC Dorfen;TC Winhöring;6208;
16.05.2026;14:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TC Dorfen;TC Taufkirchen II;8166;
16.05.2026;14:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;TC Bad Birnbach;TC Dorfen;9631;
17.05.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TC Dorfen II;VfB Forstinning;2220;
17.05.2026;10:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;FC Ergolding;TC Dorfen;901;
17.05.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;TSV Obertaufkirchen;TC Dorfen;19785;
12.06.2026;15:00;Dunlop Kleinfeld U9;Südliga 2;Dunlop Kleinfeld U9 Südliga 2;Dunlop Kleinfeld U9 Südliga 2 Gr. 950;SC Moosen;TC Dorfen;20401;
13.06.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TC Moosburg;TC Dorfen;11705;
13.06.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;TC Dorfen II;VfL Waldkraiburg II;18038;
13.06.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;TC Isen;TC Dorfen;18058;
13.06.2026;13:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TC Tüßling;TC Dorfen;8169;
13.06.2026;14:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;TC Dorfen;TC Pfarrkirchen;9635;
13.06.2026;14:00;Damen 40;Südliga 2;Damen 40 Südliga 2;Damen 40 Südliga 2 Gr. 447;TC Dorfen;TC Tiefenbach;10275;
14.06.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;TC Dorfen;TC Zorneding;455;
14.06.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TuS Mettenheim;TC Dorfen II;2222;
14.06.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;TC Dorfen;SV Oberbergkirchen;5673;
14.06.2026;10:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TC Ismaning;TC Dorfen;905;
14.06.2026;10:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;Weißblau Allianz München;TC Dorfen;2386;
14.06.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;TC Dorfen;SV Oberbergkirchen;19788;
19.06.2026;15:00;Dunlop Kleinfeld U9;Südliga 2;Dunlop Kleinfeld U9 Südliga 2;Dunlop Kleinfeld U9 Südliga 2 Gr. 950;TC Dorfen;TC Haag;20402;
20.06.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TC Dorfen;TC Erding;11709;
20.06.2026;09:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;TC Dorfen;SV Hirten;9637;
20.06.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;TV Kraiburg;TC Dorfen II;18040;
20.06.2026;13:00;Herren 30;Südliga 2;Herren 30 Südliga 2;Herren 30 Südliga 2 Gr. 255;TSV Buchbach;TC Dorfen;6209;
20.06.2026;13:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TuS Engelsberg;TC Dorfen;8173;
20.06.2026;14:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TC Dorfen;TC Unterföhring;911;
20.06.2026;14:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;TC Dorfen;GW Luitpoldpark München II;2391;
21.06.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;SV Hohenlinden;TC Dorfen;459;
21.06.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;SpVgg Altenerding;TC Dorfen II;2226;
21.06.2026;14:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;TSV Altfraunhofen;TC Dorfen;5676;
21.06.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;TSV Buchbach;TC Dorfen;19792;
26.06.2026;15:00;Dunlop Kleinfeld U9;Südliga 2;Dunlop Kleinfeld U9 Südliga 2;Dunlop Kleinfeld U9 Südliga 2 Gr. 950;TC Dorfen;TeG Wasserburg-Reitmehring;20405;
27.06.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TeG Wasserburg-Reitmehring;TC Dorfen;11716;TSV 1880 Wasserburg
27.06.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;TC Dorfen II;TSV Buchbach;18042;
27.06.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;TC Dorfen;SV Oberbergkirchen II;18064;
27.06.2026;13:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TSV Buchbach;TC Dorfen;8174;
27.06.2026;14:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TC Dorfen;TSV Eintracht Karlsfeld;914;
27.06.2026;14:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;TC Dorfen;TSV Tann;9642;
28.06.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;TC Dorfen;SV Hirten;463;
28.06.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TC Oberding;TC Dorfen II;2231;
28.06.2026;10:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;TC Dorfen;FC Langengeisling;2396;
28.06.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;TC Dorfen;TV Kraiburg;19794;
03.07.2026;15:00;Dunlop Kleinfeld U9;Südliga 2;Dunlop Kleinfeld U9 Südliga 2;Dunlop Kleinfeld U9 Südliga 2 Gr. 950;TC Schnaitsee;TC Dorfen;20410;
04.07.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TC Dorfen;VfL Waldkraiburg;11720;
04.07.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 816;TSV St.Wolfgang;TC Dorfen II;18046;
04.07.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;SV Neufraunhofen;TC Dorfen;18066;
04.07.2026;13:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TV Altötting;TC Dorfen;917;
04.07.2026;14:00;Herren 30;Südliga 2;Herren 30 Südliga 2;Herren 30 Südliga 2 Gr. 255;TC Dorfen;TeG Mühldorf III;6215;
04.07.2026;14:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;Münchner Sportclub;TC Dorfen;2397;
04.07.2026;14:00;Herren 40;Südliga 4;Herren 40 Südliga 4 (4er);Herren 40 Südliga 4 (4er) Gr. 343;TC Dorfen;TeG Mühldorf III;8179;
05.07.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;TuS Alztal Garching;TC Dorfen;466;
05.07.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;TC Dorfen;TC Taufkirchen;5679;
05.07.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TC Dorfen II;TC Taufkirchen;2235;
11.07.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TSV Velden/Vils;TC Dorfen;11723;
11.07.2026;09:00;Bambini 12;Südliga 5;Bambini 12 Südliga 5;Bambini 12 Südliga 5 Gr. 817;TC Dorfen;TSV Altfraunhofen;18069;
11.07.2026;13:00;Herren 60;Südliga 3;Herren 60 Südliga 3 (4er);Herren 60 Südliga 3 (4er) Gr. 415;DJK-SV Oberndorf;TC Dorfen;9643;
11.07.2026;14:00;Damen 40;Südliga 2;Damen 40 Südliga 2;Damen 40 Südliga 2 Gr. 447;TSV Siegsdorf II;TC Dorfen;10276;
11.07.2026;14:00;Herren 30;Südliga 2;Herren 30 Südliga 2;Herren 30 Südliga 2 Gr. 255;TC Rotthalmünster;TC Dorfen;6218;
11.07.2026;14:00;Herren 50;Landesliga 2;Herren 50 Landesliga 2;Herren 50 Landesliga 2 Gr. 048 SU;TC Dorfen;TC Vilshofen;923;
11.07.2026;14:00;Damen 50;Landesliga 2;Damen 50 Landesliga 2 (4er);Damen 50 Landesliga 2 (4er) Gr. 105 SU;TC Dorfen;TC Rot-Weiß Landshut;2402;
12.07.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;FC Forstern;TC Dorfen;471;
12.07.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;TC Dorfen;FC Eberspoint;5684;
12.07.2026;09:00;Herren;Südliga 4;Herren Südliga 4;Herren Südliga 4 Gr. 081;TC Dorfen II;TC Anzing;2239;
12.07.2026;15:00;Dunlop Midcourt U10;Südliga 2;Dunlop Midcourt U10 Südliga 2;Dunlop Midcourt U10 Südliga 2 Gr. 908;TC Dorfen;TC Isen;19800;
18.07.2026;09:00;Junioren 18;Südliga 3;Junioren 18 Südliga 3;Junioren 18 Südliga 3 Gr. 508;TC Dorfen;SpVgg Zolling II;11726;
18.07.2026;14:00;Damen 40;Südliga 2;Damen 40 Südliga 2;Damen 40 Südliga 2 Gr. 447;TC Dorfen;TSV Oberpframmern;10279;
19.07.2026;09:00;Herren;Südliga 2;Herren Südliga 2;Herren Südliga 2 Gr. 017;TC Dorfen;TuS Töging;476;
19.07.2026;09:00;Damen;Südliga 5;Damen Südliga 5 (4er);Damen Südliga 5 (4er) Gr. 233;TSV Obertaufkirchen;TC Dorfen;5689;
